#  FIFO    SPPIFO  Greedy
0   0   0   0
1   25598   1619   1298
2   30122   2992   2323
3   30842   3953   115
4   30643   4617   1333
5   29724   4894   2308
6   28200   4659   907
7   26726   4628   991
8   24836   4259   2096
9   22572   3856   2756
10   20667   3597   931
11   18669   3135   819
12   16842   2617   1503
13   14735   2304   1792
14   12895   1891   1884
15   11293   1654   1598
16   9746   1361   455
17   8329   1093   388
18   7092   924   456
19   5930   739   569
20   5057   610   513
21   4082   512   476
22   3374   385   431
23   2720   293   386
24   2227   214   332
25   1786   180   280
26   1409   138   211
27   1131   94   162
28   850   68   143
29   627   46   123
30   513   23   80
31   394   27   72
32   299   16   48
33   248   9   35
34   188   7   34
35   101   4   16
36   86   6   17
37   68   4   14
38   36   2   9
39   27   0   6
40   28   1   6
41   11   0   2
42   8   0   3
43   8   0   0
44   4   1   1
45   2   0   0
46   3   0   0
47   2   0   0
48   1   0   1
49   2   0   0
50   0   0   1
51   1   0   0
52   0   0   0
53   0   0   0
54   0   0   0
55   0   0   0
56   0   0   0
57   0   0   0
58   0   0   1
59   2   0   0
60   3   0   0
61   3   0   2
62   6   0   5
63   14   0   4
64   25   0   4
65   55   0   9
66   66   5   5
67   80   4   4
68   144   3   1
69   204   2   6
70   265   3   7
71   357   8   7
72   565   4   6
73   770   13   10
74   984   20   19
75   1378   22   29
76   1796   47   63
77   2340   57   94
78   2911   83   166
79   3794   132   272
80   4716   238   446
81   5961   353   630
82   7040   442   955
83   8512   705   1465
84   10078   1082   1966
85   11762   1507   2846
86   13850   2111   3835
87   15860   2937   4528
88   18099   4095   3729
89   20296   5395   2630
90   22820   7161   6262
91   24852   8944   9932
92   26948   11608   13027
93   28764   13868   14920
94   31005   15965   10668
95   32396   18624   6664
96   33878   20483   16548
97   34972   22115   21324
98   35589   23530   24511
99   35936   24091   25707
