#    FIFO    AIFO    SPPIFO    PACKS
0   0   0   0   0
1   245637   82809   1503   1154
2   250014   133056   2779   1983
3   244348   162177   3809   2226
4   234254   177335   4412   2327
5   224240   182945   4783   2277
6   209952   181063   4791   2162
7   197599   176484   4792   2097
8   182637   167750   4339   2108
9   167332   156671   3901   2179
10   152779   144673   3423   2154
11   136501   131330   2916   2022
12   122751   118554   2449   1964
13   107944   105814   2054   1912
14   94653   93465   1618   1905
15   82994   81520   1378   1782
16   71275   70042   1073   1528
17   60624   60056   933   1492
18   51458   51615   710   1246
19   43208   43332   505   1096
20   36092   35726   390   951
21   29825   29669   356   827
22   24465   24530   262   731
23   19680   20043   165   570
24   16088   15932   142   501
25   12763   12825   116   368
26   10152   10275   97   340
27   7944   7859   62   252
28   6283   6203   58   185
29   4814   4937   33   147
30   3690   3679   34   137
31   2815   2981   18   98
32   2093   2158   15   76
33   1665   1613   7   39
34   1236   1230   7   42
35   905   977   5   25
36   619   643   4   19
37   470   488   3   12
38   326   328   1   11
39   228   255   1   10
40   192   196   1   9
41   122   127   0   6
42   75   91   0   7
43   61   79   0   1
44   30   39   0   2
45   32   39   0   1
46   21   20   1   0
47   13   10   0   0
48   11   14   0   0
49   6   5   0   0
50   1   3   1   0
51   3   2   0   0
52   1   3   0   0
53   1   3   0   0
54   1   3   0   0
55   2   0   0   1
56   3   5   0   0
57   5   11   0   0
58   13   11   0   0
59   20   15   0   3
60   29   29   1   2
61   41   48   0   2
62   85   83   0   2
63   123   127   0   5
64   181   207   0   8
65   310   303   0   19
66   458   416   2   12
67   644   648   1   28
68   923   1003   5   36
69   1424   1438   1   45
70   2079   2017   5   70
71   2890   2853   13   99
72   3890   3978   7   125
73   5631   5431   16   190
74   7283   7446   22   233
75   9677   9715   40   315
76   12871   12651   48   436
77   16705   16668   81   548
78   21280   21601   152   712
79   27009   27135   243   948
80   33620   34031   465   1195
81   41514   41982   850   1471
82   50828   51026   1413   1871
83   61163   62113   2386   2542
84   73131   73538   4115   3180
85   85674   87024   7069   3883
86   98991   101460   11658   5235
87   114841   116548   18288   6754
88   130403   132369   29027   8883
89   145817   149695   43992   11561
90   162088   166353   63662   15970
91   178943   182534   88167   23123
92   194866   199215   115729   33887
93   209433   212842   144023   50231
94   222722   225146   168849   75869
95   234068   229509   183908   108075
96   243729   216372   188898   140774
97   251222   154783   185001   136428
98   256152   56832   173005   68424
99   258472   13832   156531   17167
