#    FIFO    AIFO    SPPIFO    PACKS
0   0   0   0   0
1   239368   69519   1316   1098
2   239083   111410   2336   1873
3   230487   135242   3063   1983
4   220888   150391   3530   2175
5   212764   157226   3653   2102
6   203683   162123   3713   2131
7   195532   161931   3649   2082
8   189122   161951   3327   2122
9   180321   159445   3052   2208
10   172567   156156   2841   2359
11   166492   152521   2463   2465
12   160635   148377   2309   2608
13   154225   144571   2181   2808
14   148177   140229   2112   2912
15   142086   135740   2028   3300
16   136835   131193   2122   3491
17   131882   127083   2445   3778
18   125784   122130   2834   4082
19   121381   117936   3292   4185
20   116803   113475   4116   4537
21   111348   110017   5128   5013
22   107566   105502   6635   5464
23   103233   101859   8317   5892
24   99037   98697   10068   6434
25   95746   94176   11959   7212
26   91858   90524   14067   8163
27   88224   87720   16446   9283
28   84739   83855   18884   10367
29   81574   81060   21239   11358
30   77767   77082   23635   12719
31   75111   74683   25991   14152
32   71864   71476   28448   15525
33   69113   69386   30064   17158
34   66336   65826   31647   18746
35   64237   63291   32900   20302
36   61512   61523   33965   21717
37   59248   58025   34810   23575
38   56907   55947   35229   24713
39   54424   53337   35679   25712
40   52432   50870   35691   26798
41   50105   48406   35154   27409
42   48531   45913   34520   27845
43   46578   44029   33542   28204
44   44887   41441   32869   27990
45   42926   38956   31586   28029
46   41126   36862   30734   27488
47   39632   34069   29453   26568
48   37805   31515   28011   26010
49   36576   29359   26869   24692
50   35053   26623   25308   23154
51   33566   24398   23683   21824
52   32370   21736   22863   20106
53   30825   19596   21270   18674
54   29953   17024   20001   16803
55   28801   15144   18871   14954
56   27751   13342   17653   13096
57   26679   11389   16458   11761
58   25527   10008   15698   10581
59   24439   8459   14488   8960
60   23604   7216   13815   8058
61   22709   6230   12820   6804
62   21837   5266   12068   5961
63   20482   4421   11147   5236
64   19901   3880   10495   4667
65   19452   3317   10055   3917
66   18682   2882   9192   3405
67   17784   2581   8693   2984
68   16916   2048   8090   2527
69   16443   1911   7463   2360
70   15868   1520   7032   2032
71   15016   1481   6622   1688
72   14620   1157   6272   1523
73   13856   1095   5725   1278
74   13463   969   5449   1145
75   12872   806   5112   933
76   12347   727   4839   854
77   11899   654   4545   697
78   11555   547   4129   607
79   11044   465   3914   560
80   10425   410   3780   435
81   10333   367   3538   399
82   9589   301   3307   354
83   9326   275   3034   301
84   9036   241   2899   294
85   8657   189   2798   240
86   8321   179   2580   206
87   8060   162   2406   167
88   7829   133   2239   160
89   7423   115   2266   131
90   7240   94   2098   98
91   6878   95   1901   91
92   6574   53   1817   79
93   6394   58   1771   67
94   6070   62   1672   43
95   5927   33   1591   58
96   5591   34   1514   29
97   5336   31   1462   25
98   5178   23   1383   17
99   4953   17   1307   23
