#    FIFO    AIFO    SPPIFO    PACKS
0   0   0   0   0
1   0   0   0   0
2   0   0   0   0
3   0   0   0   0
4   0   0   0   0
5   0   0   0   0
6   0   0   0   0
7   0   0   0   0
8   0   0   0   0
9   0   0   0   0
10   0   0   0   0
11   0   0   0   0
12   6   0   0   0
13   16   2   0   0
14   104   17   1   1
15   464   45   1   1
16   1784   208   1   3
17   5694   791   9   10
18   15899   2401   31   32
19   37162   6647   77   98
20   71894   16311   173   234
21   117099   34493   346   490
22   166936   66706   674   997
23   221429   113326   1055   1784
24   276806   174208   1689   2594
25   331696   242364   2139   3275
26   383498   312487   3286   3743
27   424749   375432   5985   4204
28   456564   422155   12919   5235
29   472551   452754   27455   6517
30   472154   463146   53883   8684
31   455501   455891   93219   12084
32   427885   432121   146676   18639
33   389186   394273   198055   32515
34   344054   347419   229171   60555
35   293869   291506   225711   99523
36   244732   221823   192835   125770
37   199178   134651   147886   111896
38   156577   53159   106025   59932
39   120971   19860   73814   24742
40   90627   7587   49879   9525
41   65746   2976   33646   3594
42   47250   1303   22189   1528
43   32926   560   14345   632
44   22286   302   9584   297
45   15067   109   6138   101
46   9840   65   3897   50
47   6330   22   2470   35
48   3898   11   1509   11
49   2393   9   995   7
50   1461   4   537   3
51   809   3   303   2
52   488   0   207   1
53   289   0   97   0
54   166   0   72   0
55   102   0   39   0
56   46   0   16   0
57   26   0   7   0
58   13   0   3   0
59   7   0   0   0
60   3   0   1   0
61   0   0   0   0
62   1   0   2   0
63   0   0   0   0
64   0   0   0   0
65   0   0   0   0
66   0   0   0   0
67   0   0   0   0
68   0   0   0   0
69   0   0   0   0
70   0   0   0   0
71   0   0   0   0
72   0   0   0   0
73   0   0   0   0
74   0   0   0   0
75   0   0   0   0
76   0   0   0   0
77   0   0   0   0
78   0   0   0   0
79   0   0   0   0
80   0   0   0   0
81   0   0   0   0
82   0   0   0   0
83   0   0   0   0
84   0   0   0   0
85   0   0   0   0
86   0   0   0   0
87   0   0   0   0
88   0   0   0   0
89   0   0   0   0
90   0   0   0   0
91   0   0   0   0
92   0   0   0   0
93   0   0   0   0
94   0   0   0   0
95   0   0   0   0
96   0   0   0   0
97   0   0   0   0
98   0   0   0   0
99   0   0   0   0
