Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1681484182,Capture flow 2,RX,0,0,0,0,0
1681484183,Capture flow 2,RX,0,0,0,0,0
1681484184,Capture flow 2,RX,0,0,0,0,0
1681484185,Capture flow 2,RX,0,0,0,0,0
1681484186,Capture flow 2,RX,0,0,0,0,0
1681484187,Capture flow 2,RX,0,0,0,0,0
1681484188,Capture flow 2,RX,0,0,0,0,0
1681484189,Capture flow 2,RX,0,0,0,0,0
1681484190,Capture flow 2,RX,0,0,0,0,0
1681484191,Capture flow 2,RX,0,0,0,0,0
1681484192,Capture flow 2,RX,0,0,0,0,0
1681484193,Capture flow 2,RX,0,0,0,0,0
1681484194,Capture flow 2,RX,0,0,0,0,0
1681484195,Capture flow 2,RX,0.22717282735792,2188.1286731114,2224.4763254887,227173,273516292
1681484196,Capture flow 2,RX,0.51048661585441,4917.0070839097,4998.6849424464,737660,888142640
1681484197,Capture flow 2,RX,0.51082743671777,4920.2898704656,5002.0222603404,1248488,1503179552
1681484198,Capture flow 2,RX,0.51079595052556,4919.9865954622,5001.7139475463,1759284,2118177936
1681484199,Capture flow 2,RX,0.51074724273266,4919.517442001,5001.2370008382,2270032,2733118528
1681484200,Capture flow 2,RX,0.51043172238007,4916.4783499649,4998.1474255457,2780464,3347678656
1681484201,Capture flow 2,RX,0.51059240654326,4918.0260598247,4999.7208448716,3291057,3962432628
1681484202,Capture flow 2,RX,0.51084939482619,4920.5013709659,5002.2372741381,3801907,4577496028
1681484203,Capture flow 2,RX,0.51070093150967,4919.0713723011,5000.7835213427,4312608,5192380032
1681484204,Capture flow 2,RX,0.50995584802131,4911.8947281413,4993.4876638247,4822564,5806367056
1681484205,Capture flow 2,RX,0.43536684754442,4193.4534755478,4263.1121711549,5257931,6330548924
1681484206,Capture flow 2,RX,0.34056194164016,3280.2926218781,3334.7825325405,5598493,6740585572
1681484207,Capture flow 2,RX,0.34062770306872,3280.9260359579,3335.4264684489,5939121,7150701684
1681484208,Capture flow 2,RX,0.34031090618599,3277.8746483834,3332.3243933732,6279432,7560436128
1681484209,Capture flow 2,RX,0.34032471854654,3278.0076890403,3332.4596440077,6619757,7970187428
1681484210,Capture flow 2,RX,0.34052286045988,3279.9161919496,3334.3998496232,6960280,8380177120
1681484211,Capture flow 2,RX,0.34046263725986,3279.336122087,3333.8101440486,7300743,8790094572
